date,temperature,rain,windSpeed
1684264532,9.04,0.00,3.67
1684264903,9.08,0.00,0.89
1684265756,9.07,0.00,0.89
1684266197,9.06,0.00,0.89
1684267069,9.06,0.12,0.89
1684267672,8.90,0.18,3.01
1684268165,8.77,0.13,3.01
1684268674,8.47,0.18,2.24
1684269223,8.53,0.15,2.24
1684270083,8.45,0.27,2.24
1684270690,8.52,0.40,2.24
1684271000,8.95,0.20,2.94
1684271883,8.69,0.24,2.94
1684272557,8.37,0.27,2.24
1684273080,8.30,0.37,2.24
1684273568,8.30,0.21,2.24
1684274172,8.30,0.24,2.24
1684274962,8.41,0.00,3.09
1684275563,8.17,0.00,0.89
1684275974,8.16,0.00,0.89
1684276765,8.23,0.00,0.89
1684277283,8.16,0.00,0.89
1684277885,8.16,0.10,0.89
1684278277,8.28,0.00,4.36
1684279170,8.11,0.00,0.89
1684279891,8.08,0.00,0.89
1684280401,8.15,0.00,0.89
1684281094,8.14,0.00,0.89
1684281624,8.40,0.00,3.64
1684282141,8.28,0.00,3.64
1684282903,8.10,0.00,3.13
1684283468,8.10,0.00,3.13
1684284220,8.11,0.00,3.13
1684284821,7.90,0.00,3.13
1684285204,7.64,0.00,3.98
1684286023,7.64,0.00,3.98
1684286624,7.29,0.00,3.13
1684287123,7.22,0.00,3.13
1684287793,7.14,0.00,3.13
1684288548,6.99,0.00,3.13
1684288913,6.66,0.00,3.93
1684289594,6.63,0.00,3.93
1684290472,6.31,0.00,2.24
1684291073,6.31,0.00,2.24
1684291479,6.31,0.00,2.24
1684292275,6.16,0.00,2.24
1684292760,6.10,0.00,2.66
1684293368,6.10,0.00,2.66
1684294040,5.64,0.00,2.24
1684294801,5.57,0.00,2.24
1684295368,5.57,0.00,2.24
1684296003,5.97,0.00,3.11
1684296605,5.97,0.00,3.11
1684297191,5.60,0.00,2.24
1684298048,5.65,0.00,2.24
1684298544,5.66,0.00,2.24
1684299250,5.66,0.00,2.24
1684299668,6.11,0.00,3.59
1684300572,6.39,0.00,3.59
1684301399,5.87,0.00,2.24
1684301971,6.00,0.00,2.24
1684302482,6.00,0.00,2.24
1684303012,6.14,0.00,2.24
1684303670,7.22,0.00,3.77
1684304124,7.23,0.00,3.77
1684304854,6.83,0.00,2.24
1684305406,6.91,0.00,2.24
1684306139,6.92,0.00,2.24
1684306810,7.37,0.00,4.18
1684307519,7.51,0.00,4.18
1684307991,7.69,0.00,3.13
1684308750,7.76,0.00,3.13
1684309318,7.69,0.00,3.13
1684309803,7.75,0.00,3.13
1684310463,8.32,0.00,4.63
1684311108,8.59,0.00,4.63
1684311630,8.36,0.00,2.24
1684312323,8.56,0.00,2.24
1684312925,8.64,0.00,2.24
1684313590,8.76,0.00,2.24
1684314517,9.03,0.00,4.80
1684314881,9.01,0.00,4.80
1684315608,9.07,0.00,3.13
1684316213,9.20,0.00,3.13
1684316686,9.28,0.00,3.13
1684346841,10.45,0.00,2.43
1684347363,10.00,0.00,2.43
1684348244,10.02,0.00,0.89
1684348802,10.16,0.00,0.89
1684349876,10.08,0.00,0.89
1684350270,9.37,0.00,1.74
1684351048,8.81,0.00,1.74
1684351787,8.22,0.00,0.89
1684264673,50.00,50.00,50.00
1684264067,9.63,9.63,9.63
1684264926,9.72,9.72,9.72
1684265995,9.72,9.72,9.72
1684266648,9.72,9.72,9.72
1684267251,9.63,9.63,9.63
1684268034,9.63,9.63,9.63
1684268636,9.48,9.48,9.48
1684268995,9.48,9.48,9.48
1684269840,9.19,9.19,9.19
1684270201,9.19,9.19,9.19
1684270840,9.55,9.55,9.55
1684271836,9.22,9.22,9.22
1684272437,9.19,9.19,9.19
1684273038,8.93,8.93,8.93
1684273639,8.93,8.93,8.93
1684274480,8.73,8.73,8.73
1684275082,9.03,9.03,9.03
1684275683,9.02,9.02,9.02
1684276284,9.02,9.02,9.02
1684276885,9.02,9.02,9.02
1684277487,9.02,9.02,9.02
1684278088,9.03,9.03,9.03
1684278689,9.03,9.03,9.03
1684279290,9.02,9.02,9.02
1684280012,9.02,9.02,9.02
1684280613,9.27,9.27,9.27
1684281214,9.27,9.27,9.27
1684281704,9.36,9.36,9.36
1684282656,9.03,9.03,9.03
1684283378,8.98,8.98,8.98
1684283980,8.96,8.96,8.96
1684284485,8.96,8.96,8.96
1684285182,8.57,8.57,8.57
1684285783,8.54,8.54,8.54
1684286384,8.47,8.47,8.47
1684287000,8.15,8.15,8.15
1684287827,8.14,8.14,8.14
1684288669,7.97,7.97,7.97
1684289630,7.79,7.79,7.79
1684290592,7.45,7.45,7.45
1684291193,7.45,7.45,7.45
1684291794,7.45,7.45,7.45
1684292395,7.29,7.29,7.29
1684292997,7.27,7.27,7.27
1684293598,7.03,7.03,7.03
1684294560,6.83,6.83,6.83
1684295161,6.81,6.81,6.81
1684295762,6.81,6.81,6.81
1684296365,6.91,6.91,6.91
1684297326,6.81,6.81,6.81
1684298288,7.06,7.06,7.06
1684298889,7.06,7.06,7.06
1684299490,7.09,7.09,7.09
1684300211,7.31,7.31,7.31
1684300812,7.07,7.07,7.07
1684301400,7.10,7.10,7.10
1684302138,7.36,7.36,7.36
1684302739,7.57,7.57,7.57
1684303220,7.91,7.91,7.91
1684304062,7.89,7.89,7.89
1684304663,8.07,8.07,8.07
1684305384,8.15,8.15,8.15
1684305985,8.15,8.15,8.15
1684306586,8.15,8.15,8.15
1684307187,8.29,8.29,8.29
1684308029,8.54,8.54,8.54
1684308600,8.56,8.56,8.56
1684309471,8.63,8.63,8.63
1684310193,8.77,8.77,8.77
1684311160,9.30,9.30,9.30
1684312091,9.47,9.47,9.47
1684312823,9.62,9.62,9.62
1684313287,10.34,10.34,10.34
1684314026,10.03,10.03,10.03
1684314776,9.85,9.85,9.85
1684315413,9.84,9.84,9.84
1684316043,10.13,10.13,10.13
1684316645,10.44,10.44,10.44
1684347285,10.06,10.06,10.06
1684347921,10.20,10.20,10.20
1684348585,10.19,10.19,10.19
1684350021,9.86,9.86,9.86
1684350619,9.83,9.83,9.83
1684351344,9.19,9.19,9.19
1684352302,8.11,0.00,0.89
1684353013,7.91,0.00,0.89
